sample_id	chrom	start	end	cn_a	cn_b
2_S1_C10	chr1	1	20033345	2	0
2_S1_C10	chr1	20283345	104371959	2	2
2_S1_C10	chr1	104621959	118054841	2	0
2_S1_C10	chr1	118304841	120291655	3	3
2_S1_C10	chr1	120541655	188974205	5	2
2_S1_C10	chr1	189224205	248234141	3	2
2_S1_C10	chr2	1	20566626	4	3
2_S1_C10	chr2	20816626	22517503	3	2
2_S1_C10	chr2	22767503	82241544	2	1
2_S1_C10	chr2	82491544	89074867	2	1
2_S1_C10	chr2	89324867	196111610	2	1
2_S1_C10	chr2	196361610	242637536	1	1
2_S1_C10	chr3	1	89999669	2	0
2_S1_C10	chr3	90249669	197339330	2	1
2_S1_C10	chr4	1	8680548	2	0
2_S1_C10	chr4	8930548	48806634	2	0
2_S1_C10	chr4	49056634	80783051	2	2
2_S1_C10	chr4	81033051	163584523	2	2
2_S1_C10	chr4	163834523	190845177	4	2
2_S1_C10	chr5	1	1482027	4	1
2_S1_C10	chr5	1732027	45951245	2	2
2_S1_C10	chr5	46201245	159987445	2	0
2_S1_C10	chr5	160237445	180599194	4	0
2_S1_C10	chr6	1	40753750	2	2
2_S1_C10	chr6	41003750	46943077	2	2
2_S1_C10	chr6	47193077	57484444	2	2
2_S1_C10	chr6	57734444	95211510	2	2
2_S1_C10	chr6	95461510	158711367	2	2
2_S1_C10	chr6	158961367	170483369	4	2
2_S1_C10	chr7	1	2566124	3	2
2_S1_C10	chr7	2816124	52793484	2	2
2_S1_C10	chr7	53043484	57344929	2	2
2_S1_C10	chr7	57594929	78997265	2	2
2_S1_C10	chr7	79247265	99384835	4	2
2_S1_C10	chr7	99634835	158953939	5	3
2_S1_C10	chr8	1	43464189	2	2
2_S1_C10	chr8	43714189	146232982	2	2
2_S1_C10	chr9	1	38455271	2	0
2_S1_C10	chr9	38705271	77484350	2	1
2_S1_C10	chr9	77734350	91201591	2	1
2_S1_C10	chr9	92318713	95194848	2	0
2_S1_C10	chr9	95444848	110089204	2	0
2_S1_C10	chr9	110339204	126253465	2	1
2_S1_C10	chr9	126503465	136798467	2	0
2_S1_C10	chr9	137048467	140652749	2	0
2_S1_C10	chr10	1	25935893	4	2
2_S1_C10	chr10	26185893	38238878	3	2
2_S1_C10	chr10	38488878	107406270	3	1
2_S1_C10	chr10	107656270	134971887	2	1
2_S1_C10	chr11	1	50467823	2	2
2_S1_C10	chr11	50717823	103641583	2	2
2_S1_C10	chr11	103891583	134714034	2	2
2_S1_C10	chr12	1	8895671	8	2
2_S1_C10	chr12	9145671	25168152	4	2
2_S1_C10	chr12	25418152	32876402	2	2
2_S1_C10	chr12	33126402	34541833	4	1
2_S1_C10	chr12	34791833	133124839	2	0
2_S1_C10	chr13	1	115048768	2	0
2_S1_C10	chr14	1	91377936	2	2
2_S1_C10	chr14	91627936	96629947	2	0
2_S1_C10	chr14	96879947	107118565	1	1
2_S1_C10	chr15	1	102279257	2	0
2_S1_C10	chr16	1	34866227	2	1
2_S1_C10	chr16	35116227	60796920	2	1
2_S1_C10	chr16	61046920	90104086	2	1
2_S1_C10	chr17	1	20917988	2	0
2_S1_C10	chr17	22037717	37744705	2	0
